time,acc_x,acc_y,acc_z,acc_abs
0.135238697,,,,
0.152002013,,,,
0.16875598,,,,
0.185513479,,,,
0.202269552,,,,
0.219026866,,,,
0.235783967,,,,
0.252541169,,,,
0.269297751,,,,
0.28605467,,,,
0.302811648,,,,
0.319569136,,,,
0.336325637,0.08928379704348172,1.100425470095487,1.1557510614012685,-1.4369849158563308
0.353082849,-0.4875970642861267,1.7458715105277463,0.4386768576848659,-1.1275692074883081
0.369839502,-0.6748309965576644,1.7477456385730172,-0.4689550724400709,-0.45361633334262047
0.386597072,-0.9967230896002705,0.3698602592527807,-0.2832176567638053,0.3094159287071662
0.403353348,-1.8016583464015794,0.4014212082838723,1.3774104398642164,-1.495954351974346
0.420110753,-2.4576451307198326,0.21255553576203795,0.49885004393335264,-0.7854615357101502
0.4368675,-1.706541301819136,0.7214323922584152,0.3828100925989712,-0.6633370825373712
0.453624722,-2.1292253357758546,0.5150467400549198,0.5499096183803639,-1.1453424400756707
0.470381385,-1.8713534155269314,0.2139987440610736,0.19180676916451303,-0.7430340431364263
0.487138639,-1.180940548325482,-0.1728334800501847,0.10006874274752389,-0.3337608013773927
0.503895464,-0.029680656904884466,-0.47809658639990393,0.7044782712152056,-0.4979804891358561
0.520652677,0.7749367890204464,-0.7641851529060194,1.902121749777101,-0.5682698262077468
0.537409239,0.6026085605548162,-1.0401622384239193,1.0999668973375027,-0.33444101248033803
0.554166279,0.8477455072303514,-0.9401181247465485,-0.016950249003979397,0.3914339855891072
0.5709235329999999,1.437135351930864,-0.5926713567055707,-0.9664553807856427,1.0122319825331552
0.587680827,2.115530426229094,-0.05394065837629144,0.4881825362813794,-0.31191822123136703
0.604436931,1.7141444742711722,0.3861086617726131,-0.4206211115472306,0.3991408037765492
0.621194367,2.26867396103932,-0.37103699619813435,0.10490030716607354,0.1952359804692153
0.637951488,1.6398486321491164,-0.5233275158648272,1.2919593767006663,-0.707327135196195
0.654708457,0.7190464579194088,-0.0036696448619836144,0.35627449651323,-0.3061920113091123
0.671465222,0.5341437651353991,0.8919020352272472,0.28027654006378894,-0.17599048621907792
0.688222161,0.2885279741196774,1.1965559504782117,0.8257676114889783,-0.8229694700315878
0.70497921,-0.1776742856104526,1.1763675167457721,-1.4883012544953405,1.1499084345019757
0.721736555,-0.3807095532694721,1.4656053387600743,-2.420829959373139,1.037771824601124
0.7384947850000001,-0.5096006996902074,0.9391077939346378,-0.45195241234778555,-0.24309583234686546
0.755248325,-1.1793155594127303,0.2839178744916305,-0.26154091132908086,0.09535906746690127
0.772007064,-2.2799650369219413,0.24554859450213146,-0.3606281213428731,0.5818616671944338
0.78876453,-2.892283093496806,0.3268809650087176,-0.6243167192877427,0.7138776761678696
0.80550442,-2.1756007432709628,0.4426854900133661,0.4743763318716967,-0.41767272524764226
0.82228154,-2.227969086478935,0.38385929071910513,-0.23441412680722082,-0.08725392220246968
0.839034939,-1.0628933492654042,0.028295788876028703,-2.2746732046526668,1.6427199639939338
0.855792192,0.4939828866257797,-1.0098398057766822,-1.5070306131163693,1.6896802555759112
0.87255144,0.7110855035005591,-1.9600839406699166,-1.0964664427982396,1.4178292115460718
0.889303443,1.128740223906724,-1.6660118484933437,-1.422341910889816,1.8297458165867173
0.906062955,1.1033278219622205,-1.013839861014119,0.3900021281090597,0.12128438534846153
0.922820036,0.35158386405257697,-0.32937184187039964,0.4342696287138278,-0.2300195219814154
0.939573698,0.8803726690398084,0.669716971969762,-0.9688209327999584,1.064813424841725
0.956333749,2.3814660765737705,0.8838421419928975,-0.22561498557198792,0.542010279846453
0.973090942,3.33995109646788,0.14478096812926045,1.0886854878196697,-0.8589683455930028
0.989848266,3.015349255094181,-0.5593926060480242,-0.005980386610790779,-0.05581984091595303
1.00660437,2.2989805920377555,-1.2688342412166778,-0.7457198155963636,0.9385677563524362
1.023361909,1.374714841947852,-1.6698333235569867,-0.39450600915730594,0.7674527106393566
1.040118825,-0.06141887432089423,-1.146991886755714,-0.09547983719025877,0.3597019892881035
1.0568759170000002,-0.8411180749827241,0.026078296892116593,0.49203944504270203,-0.6130351568360116
1.073632315,-0.9094614692046938,0.9677190665381589,1.1996720908687422,-1.5859579895537985
1.090389762,-1.0229857729381884,1.139084555704679,1.8598154461546168,-2.264063256310642
1.107146589,-1.0501160138484362,0.8989713093865038,1.1932956243929218,-1.636415488135824
1.123904859,-0.24631853329187445,0.46530507707467816,0.2953129361963306,-0.41665450108682905
1.1406596720000002,-0.14319163337609983,0.3195847821994287,0.34580447800919994,-0.3650841607279826
1.157417474,-0.4932027259819725,0.614054308053917,-0.3712286677953045,0.12752031058444366
1.174174636,0.1288808597713933,1.0312365829903778,-0.7020074261817559,0.6298742924465155
1.190929255,0.44607528475177816,0.844947514855999,0.6782692044514014,-0.45898405619932503
1.207690771,0.03376668742364708,0.9813462238756703,0.17636068774569796,-0.3923358137284334
1.2244454,0.27498431789825745,0.9622558238325866,0.34277728299792065,-0.6225800882172899
1.241202601,-0.11330768299060569,0.27921386883476346,0.6992218806163768,-0.7539421944936736
1.257959419,-0.18541225593741484,-0.19917102860643354,-0.5587585598146969,0.5898297419608963
1.274716325,0.30367003415138416,-0.5336469198037788,-0.07923617086690163,0.26546531221868286
1.291473294,0.37779771949261354,-0.9357185342331883,0.016898151396766238,0.32718349160118915
1.308230212,0.4894572689152083,-0.7778606643945735,-0.7414957959380074,0.9706042660247949
1.324987638,-0.05752174475961308,-0.4736724289591858,-0.46251677568460076,0.44949003030491913
1.341744128,-0.11970468798314271,-0.7171476563412373,-0.20099557372983948,0.17079836542965018
1.358501474,-0.1779230855343037,-0.679623983810438,0.5852281986768371,-0.6416653873741524
1.375258148,-1.0326861823423599,-0.3287286018868603,0.7717653929871385,-1.2003707419208332
1.39201536,-1.0656547499127527,0.6199935151686163,-0.36941109223854895,-0.08973006643562761
1.408772084,-0.22267896590222624,0.8379821773675552,0.3235832253838811,-0.34294229239563845
1.425529298,-0.003997423833107666,0.8345984268703864,0.4200525924938969,-0.48113686878501744
1.4422731830000002,0.7894018669621022,1.0318709691502375,-0.07202633355134251,-0.03765229213574458
1.459043255,1.3169239333498524,0.7158613278474565,0.45465673371396426,-0.3358700807508569
1.475799928,0.8085842172999831,0.03565131851464833,0.9279729455759888,-0.43601989486149934
1.492557192,-0.8777781224825804,-0.08172018890477185,-0.8124012006876267,0.5727384321748836
1.509313753,-0.5433769224219586,-0.2965738092895748,-0.9093020387872497,0.7602751772938632
1.526071527,0.4798360731943859,-0.9196057287575906,0.9954254564216095,-0.2845230704169225
1.542827874,0.33369500183139666,-1.1481412555089965,1.0191675701599126,-0.3075534564101568
1.559585157,0.22684264223118125,-0.7041878001876286,-0.5752140567475684,0.7222838715997364
1.5763415870000002,0.6067014768779802,-0.34149544864787534,0.5899935325224813,-0.16293167618878227
1.593101302,0.2518700635270607,-0.21128208362687279,0.7538859179065839,-0.6429494187909671
1.609854181,0.031025038219316747,0.347240864491476,-0.6965749452798579,0.7276990318186018
1.6266129,0.3032086819618809,0.6170462191115802,-0.22103774539694646,0.4437549010815464
1.643370153,0.4080984977017087,0.2949641969244764,0.5149888761099582,-0.3070191996269952
1.660127295,-0.12960619077179844,-0.1517708540425644,0.3444095103718622,-0.3434831435317317
1.6768834190000002,-0.6266728147391575,-0.18530551247844987,-0.9175641954942851,0.5270958238344712
1.6936406940000002,0.33441977469986817,0.08133450353370188,0.39306099226273017,-0.3578912730135911
1.7103978350000002,-0.9559431230836398,0.5262590200491968,1.5269454887858922,-1.6672939227434622
1.727155129,-2.8177035001908837,1.577648286528611,-0.809568424150017,0.14129155909273614
1.7439116200000002,-2.383415920246723,2.122047642864248,-0.5488475045439739,-0.12537437672960106
1.760668517,-2.4253445149281623,0.9825809789735975,2.092031433448465,-2.0446059878742613
1.7774255570000002,-2.4916490328649634,-0.01653734160221539,-0.23255134573619657,-0.055380592868661566
1.794183003,-0.5891159604851995,-0.5675320676530496,-0.7225591826697401,0.4806457106712046
1.81093986,-0.0032715043321511804,-1.0263567297574452,0.9003080325236424,-0.9562150634277485
1.827696666,0.5438040483174352,-0.9393504825188426,-0.567257916415603,0.6496133938343787
