time,acc_x,acc_y,acc_z,absolute_acc
0.118475107,,,,
0.135238697,,,,
0.152002013,,,,
0.16875598,,,,
0.185513479,,,,
0.202269552,,,,
0.219026866,,,,
0.235783967,,,,
0.252541169,,,,
0.269297751,,,,
0.28605467,,,,
0.302811648,,,,
0.319569136,0.1888676422337691,-0.19561413178841272,-0.5704627831776937,0.6619810868726599
0.336325637,0.190363726268212,-0.1771748512983322,-0.5510964393615723,0.6379022476931283
0.353082849,0.18219295889139175,-0.14791891227165857,-0.5437454382578532,0.6190073314385748
0.369839502,0.17088505004843077,-0.11863254507382709,-0.5516035556793213,0.6114062399456202
0.386597072,0.15418239310383797,-0.11243458588918047,-0.5563495953877767,0.6165912990300455
0.403353348,0.12399330859382947,-0.10570826133092241,-0.5332693258921305,0.5915246750249622
0.420110753,0.08280955379207929,-0.10214638213316596,-0.5249098936716715,0.5783623779591452
0.4368675,0.05421347295244536,-0.09005752205848692,-0.518495241800944,0.5672470062913484
0.453624722,0.018533571312824904,-0.08142676949501036,-0.509280284245809,0.5480542487569787
0.470381385,-0.012824067225058864,-0.0778408646583557,-0.5060662428538004,0.5356034776986142
0.487138639,-0.03261338795224824,-0.08073707918326058,-0.5043893655141195,0.5300105631746896
0.503895464,-0.03311074152588843,-0.08874846001466113,-0.4925845464070638,0.5216659912648257
0.520652677,-0.020124960690736753,-0.10155407339334487,-0.4607102870941162,0.5121433727455895
0.537409239,-0.01002731298406917,-0.11898361643155414,-0.4422786235809326,0.5065392911846199
0.554166279,0.004178392390410117,-0.13473721345265705,-0.44256265958150226,0.513098566138496
0.5709235329999999,0.028260834515094757,-0.1446687579154968,-0.45875779787699383,0.5300607945767275
0.587680827,0.0637113998333613,-0.14557265738646188,-0.450577179590861,0.5248338892395964
0.604436931,0.09243378291527428,-0.13910298049449918,-0.457625150680542,0.5315219340583198
0.621194367,0.1304509416222572,-0.14532060921192166,-0.45586729049682617,0.53479358850593
0.637951488,0.1579300835728645,-0.15409007171789801,-0.43421777089436847,0.5229408221148639
0.654708457,0.16997912277777985,-0.15415156384309128,-0.42824769020080566,0.5178099720733095
0.671465222,0.17892964432636893,-0.13920617103576657,-0.42355116208394367,0.5148609408535006
0.688222161,0.18376448998848594,-0.1191555559635162,-0.4097138245900472,0.501070491645319
0.70497921,0.1807871932784716,-0.099443107843399,-0.434653361638387,0.5203395636277819
0.721736555,0.17440751194953916,-0.07488345354795452,-0.4752200444539388,0.5377298641239024
0.7384947850000001,0.16586750621596968,-0.05914566914240516,-0.48279396692911786,0.5336560082533922
0.755248325,0.14610979581872618,-0.054389039675394664,-0.48717570304870605,0.5352536102045616
0.772007064,0.1079004568358262,-0.05027395486831663,-0.49321937561035156,0.545004878019178
0.78876453,0.05943312123417851,-0.044796258211135837,-0.5036813418070475,0.5569676589057201
0.80550442,0.023013804107904403,-0.037385751803716,-0.4957403341929118,0.5499758634290743
0.82228154,-0.014365100612243024,-0.030945698420206693,-0.49967312812805176,0.5485119939058128
0.839034939,-0.03217217698693276,-0.03047164777914682,-0.5377816359202067,0.576033136907869
0.855792192,-0.023894380778074268,-0.04739378889401752,-0.5630353291829427,0.6043475364396591
0.87255144,-0.011977122475703567,-0.08024332175652184,-0.5814112822214762,0.6281092878176041
0.889303443,0.006931537141402562,-0.1081523572405179,-0.6052383581797282,0.6587611952263023
0.906062955,0.025422773013512295,-0.1251438185572624,-0.5987021128336588,0.6607938623379624
0.922820036,0.0313142923017343,-0.13066312919060386,-0.5914250214894613,0.6569394065765386
0.939573698,0.046063758432865164,-0.11944291740655895,-0.6076563199361166,0.6747789307893993
0.956333749,0.08597725133101146,-0.10462967803080875,-0.6114376386006674,0.6838630507221501
0.973090942,0.14194545646508536,-0.10220355540513988,-0.593194325764974,0.6694691523741575
0.989848266,0.1924746409058571,-0.11157747854789096,-0.5932945410410563,0.6685337612143004
1.00660437,0.2309965988000234,-0.13283819705247876,-0.6057898998260498,0.6842605001507885
1.023361909,0.2540334363778432,-0.16082049409548438,-0.6124008496602377,0.6971211188799832
1.040118825,0.2530042454600334,-0.18004054079453147,-0.6140007972717285,0.7031486148995169
1.0568759170000002,0.23890955249468485,-0.17960354437430695,-0.6057556470235189,0.6928759283771813
1.073632315,0.2236702541510264,-0.16338805854320523,-0.5856534639994303,0.6663009850929382
1.090389762,0.20652762427926064,-0.1442999094724655,-0.5544877052307129,0.6283610650706651
1.107146589,0.18893101190527276,-0.12923600276311234,-0.5344918568929037,0.6009399338358525
1.123904859,0.18480313941836354,-0.12143829464912409,-0.5295429229736328,0.5939575252099242
1.1406596720000002,0.1824039903779824,-0.11608371138572689,-0.523749033610026,0.5878406083676648
1.157417474,0.17413899675011632,-0.10579351087411241,-0.5299700101216634,0.5899775684834174
1.174174636,0.17629867419600484,-0.08851291239261622,-0.5417336622873942,0.6005324740415791
1.190929255,0.18377249563733733,-0.07435613870620723,-0.5303695201873779,0.5928423710528848
1.207690771,0.1843384765088558,-0.05790728827317552,-0.5274134476979574,0.5862662280337027
1.2244454,0.18894573673605916,-0.04178504894177115,-0.5216703414916992,0.5758351296328347
1.241202601,0.1870470171173413,-0.037106206019719416,-0.5099533398946127,0.5632011687373232
1.257959419,0.1839400976896286,-0.04044367869695025,-0.5193163553873698,0.573084838374349
1.274716325,0.1890286679069201,-0.04938594996929166,-0.5206441084543864,0.5775332156574581
1.291473294,0.19535941258072853,-0.06506575644016264,-0.5203609466552734,0.583015819283531
1.308230212,0.20356120790044463,-0.07810030380884804,-0.5327861309051514,0.5992801553797587
1.324987638,0.20259729151924452,-0.08603783448537189,-0.5405367215474447,0.6068124513003311
1.341744128,0.20059146111210188,-0.0980547120173772,-0.543904701868693,0.6096744324026694
1.358501474,0.19760994240641594,-0.10944340626398719,-0.5340978304545084,0.5989218234902166
1.375258148,0.18030555670460066,-0.11495180428028103,-0.5211656093597412,0.5788076022887113
1.39201536,0.16244815414150554,-0.10456244150797522,-0.5273559093475342,0.5773039765426754
1.408772084,0.15871678416927654,-0.0905206054449081,-0.5219337145487467,0.5715573872010744
1.425529298,0.15864979848265645,-0.07653506100177762,-0.5148948033650717,0.5634948737275539
1.4422731830000002,0.1718674525618553,-0.05925753215948737,-0.516100804011027,0.5628644280780466
1.459043255,0.1939523617426554,-0.04725248614946998,-0.508476177851359,0.5572318626412089
1.475799928,0.20750154306491211,-0.046655088663101175,-0.4929264386494954,0.5499256198415204
1.492557192,0.19279238333304718,-0.04802449544270831,-0.506540060043335,0.5595231489524211
1.509313753,0.18368725478649137,-0.052994052569071436,-0.5217768351236979,0.5722627463375315
1.526071527,0.19172823925813035,-0.06840459754069644,-0.5050957202911377,0.5674947730256986
1.542827874,0.19731974850098288,-0.08764325082302092,-0.4880181948343913,0.5623413005890406
1.559585157,0.20112101485331854,-0.09944352507591248,-0.49765721956888836,0.5744448158317731
1.5763415870000002,0.21128716568152106,-0.10516576965649921,-0.48777103424072266,0.5717146626049331
1.593101302,0.21550843616326645,-0.10870679716269173,-0.47513612111409503,0.5609390135865809
1.609854181,0.21602819487452504,-0.10288951297601064,-0.4868057568868001,0.5731300674150551
1.6266129,0.22110958397388458,-0.09254860877990721,-0.4905100663503011,0.5805668311071536
1.643370153,0.22794819374879202,-0.08760581910610195,-0.4818802674611409,0.5754220327031465
1.660127295,0.22577636440594992,-0.09014906485875446,-0.47610894838968915,0.5696662368923789
1.6768834190000002,0.2152757570147514,-0.09325406700372696,-0.49148376782735187,0.5784983198764316
1.6936406940000002,0.22087972114483514,-0.09189112236102424,-0.4848971366882324,0.5725010373944428
1.7103978350000002,0.2048608474433422,-0.08307252575953801,-0.45930989583333326,0.5445619580425874
1.727155129,0.15764376148581505,-0.05663540959358213,-0.47287607192993164,0.5469296222380228
1.7439116200000002,0.11770607406894362,-0.021077337364355714,-0.4820728302001953,0.5448287876227226
1.760668517,0.07706482584277786,-0.004612329105536144,-0.4470168749491374,0.5105675356783307
1.7774255570000002,0.03531216333309808,-0.004889446000258133,-0.4509137471516927,0.5096395208684068
1.794183003,0.02544008443752924,-0.014399833977222434,-0.46302199363708496,0.5176939154101111
1.81093986,0.025385264307260503,-0.03159834692875543,-0.4479356606801351,0.5016707563310066
1.827696666,0.03449768324693043,-0.04733886073033013,-0.4574410915374756,0.5125562019464909
1.844453492,0.05217306812604267,-0.056103420754273714,-0.47484572728474933,0.536712261398301
1.861197582,0.06272633125384648,-0.05574197322130201,-0.48304136594136554,0.5486011486847856
1.877967358,0.07779652128616969,-0.04885789752006528,-0.49044164021809894,0.5590967176950766
1.894724611,0.08961434165636699,-0.048809491097927066,-0.4807597796122233,0.5545081151353942
1.911481488,0.09886770819624265,-0.059449002146720865,-0.4682428042093913,0.548199575865596
1.928238549,0.11971929048498471,-0.07610649367173511,-0.458865483601888,0.5369175557195311
1.944995344,0.14075899496674538,-0.0878325154383977,-0.44867602984110516,0.5230489976063174
1.961752547,0.1684437431395054,-0.08475879331429796,-0.46199552218119305,0.5308657042782583
1.978506331,0.20146221915880838,-0.07309543093045551,-0.47217361132303876,0.5397124910848027
1.995269749,0.2215839078028997,-0.0672151098648707,-0.47438645362854,0.5486148889767416
2.012024256,0.23320883512496948,-0.06920838852723438,-0.48347043991088867,0.5623444594526567
2.028780401,0.227791095773379,-0.08020524680614469,-0.47393568356831867,0.5535452076337942
2.0455373690000003,0.21071076641480127,-0.0941277518868446,-0.4493522644042969,0.528123271467967
2.062294725,0.19222567230463028,-0.0968411490321159,-0.4387887318929036,0.5119410517637195
2.079050839,0.17770514885584512,-0.08563196907440818,-0.43778181076049805,0.5041467897590234
2.095808173,0.17649744699398676,-0.06370518108208971,-0.43908945719401044,0.5014421524075556
2.1125653250000003,0.183569073677063,-0.042645561198393474,-0.44669564565022785,0.5038392935213263
2.129322568,0.19854865968227384,-0.032251439988613115,-0.4594322045644124,0.5161010457863113
2.1460790490000003,0.21216524144013718,-0.036729363103707606,-0.46541261672973633,0.5262323670237953
2.162836038,0.21499031285444892,-0.0510226413607597,-0.4746080239613851,0.5364847340221708
2.1795929750000003,0.21007743974526719,-0.06980226188898082,-0.4794413248697917,0.5398636425120501
2.196351786,0.1889501611391703,-0.08620108415683107,-0.4724246660868327,0.5282239673083615
2.213106995,0.16317077477773026,-0.0921110386649767,-0.47861846288045246,0.5270124049901257
2.22986379,0.14840039114157355,-0.08595138043165201,-0.4935433069864909,0.5343331801475152
2.2466209310000003,0.1381002639730771,-0.07464465002218879,-0.5036842823028564,0.5351766009674691
2.263365073,0.1427000984549522,-0.07266120612621303,-0.4922207196553548,0.5259222612113986
2.280134776,0.14007275551557538,-0.07642570634682969,-0.47792577743530273,0.5117027487880201
2.2968920820000003,0.1319913864135742,-0.07456692059834795,-0.49436791737874347,0.5246452393198381
2.3136487960000003,0.138758639494578,-0.06115949650605515,-0.5167622566223145,0.5497678420349582
2.330406211,0.1513713548580805,-0.0423951943715413,-0.5100404421488444,0.5508796958475224
2.347162692,0.16052505125602082,-0.027905091643333418,-0.5080551306406657,0.5536248200252029
2.363916701,0.16890788078308103,-0.023444260160128266,-0.521950880686442,0.5687420663134735
2.380680108,0.1805189400911331,-0.02574541171391803,-0.522299607594808,0.5735221226464295
2.397433913,0.1938479791084925,-0.02756707121928531,-0.5174517631530762,0.5738164983990944
2.4141906580000003,0.2076676785945892,-0.03093099345763523,-0.5105265776316324,0.5707379682629016
2.430947809,0.21901326626539228,-0.030239539841810843,-0.5004445711771647,0.564330066125052
2.447701808,0.2211964204907417,-0.021024408439795163,-0.49803868929545086,0.5620326270784977
2.464464881,0.22105172773202256,-0.0011377260088920524,-0.5131818453470866,0.5761650508411028
2.481218186,0.23767784486214316,0.015777361889680225,-0.5187074343363444,0.5902486544895553
2.497975776,0.2543453276157379,0.01434542487064997,-0.5045859813690186,0.5838877734287241
2.514732735,0.26106423387924826,-0.005670376121997837,-0.494889497756958,0.5763764355483213
2.531490008,0.25353668630123133,-0.035219448308149964,-0.4875892798105875,0.566813604217576
2.548246214,0.23388378322124478,-0.06174488365650174,-0.4891316095987956,0.5645330760944347
2.5650034070000003,0.22456242640813187,-0.07390304158131279,-0.487506628036499,0.5626056772545128
2.5817605780000004,0.218923511604468,-0.07161627461512882,-0.4827570915222168,0.5555694723204064
2.598517832,0.21692113329966858,-0.059729655583699526,-0.48480574289957673,0.5537055593024087
2.615274292,0.2192938427130381,-0.04326351483662922,-0.47849376996358234,0.5470281520777153
2.632031372,0.2101850236455599,-0.0317177524169286,-0.4626453717549642,0.5286631357056405
2.648792582,0.20403700073560074,-0.03486174841721853,-0.45067516962687176,0.5154110532688598
2.665545686,0.18934594591458634,-0.05007010698318481,-0.4451145331064859,0.5060968483481775
2.682302207,0.1646897494792938,-0.06722023089726764,-0.4524180889129638,0.503029011837454
2.6990595,0.14444247384866074,-0.07901456952095029,-0.46256057421366376,0.5048306677183628
2.715816134,0.12518221884965894,-0.08186634878317513,-0.4551715850830078,0.49168318712446685
2.732573631,0.11188088109095888,-0.07387337585290271,-0.44821389516194654,0.47839038334146383
2.749330102,0.11611396571000414,-0.06015045195817945,-0.4323550860087077,0.4605509749387948
2.7660873350000004,0.11032530168692267,-0.043184489011764506,-0.4097676277160644,0.4345734629413718
2.7828441610000003,0.10819086680809653,-0.029081806540489172,-0.4109559059143066,0.4338823797965858
2.799588383,0.11717941860357917,-0.021726588408152243,-0.4108714262644449,0.43844598980761007
2.8163579860000003,0.12474743525187171,-0.022270341714223207,-0.4135590394337971,0.4445431405987616
2.833115138,0.14775400608777997,-0.025399943192799878,-0.4428652127583821,0.48084273723191123
2.849872035,0.1790545855959256,-0.02773355940977731,-0.4669544696807861,0.5170833186999758
2.866629227,0.206599881251653,-0.03336879611015319,-0.47075096766153973,0.5300690792043273
2.8833856260000004,0.22669967512289682,-0.041270196437835686,-0.4577675660451253,0.5258675464997528
2.9001431340000003,0.23511095096667603,-0.04587738712628681,-0.4420564969380696,0.5144953072074313
2.916900225,0.24750682959953943,-0.044627676407496125,-0.44467918078104646,0.5204965221345407
2.933657021,0.2663179486989975,-0.04056428869565327,-0.4528483549753824,0.5351747109476221
2.950413633,0.2835395981868108,-0.03689345717430114,-0.4702003002166748,0.5583706679202854
2.96717105,0.31522687276204425,-0.03974685072898864,-0.4890743891398112,0.5899498525247534
2.983927773,0.3310921713709831,-0.048714131116867045,-0.4953290621439616,0.6027248131577826
3.000685281,0.32445946087439853,-0.057176465789477014,-0.5156939824422201,0.6179041379119238
3.0174357400000003,0.3170213575164477,-0.06299364566802977,-0.5217756430308024,0.6198602910361076
3.034210287,0.29245459040006,-0.0720636943976084,-0.49808867772420246,0.5889415407209914
3.0509558510000003,0.26386092106501263,-0.07526455819606778,-0.4796312650044759,0.5595556536146007
3.0677130750000003,0.24318567415078482,-0.06880108515421547,-0.46310607592264813,0.5349164010871175
3.0844695040000003,0.22849351664384207,-0.055516685048739085,-0.4637128512064616,0.5276010784026356
3.101226574,0.23446821421384811,-0.03762693703174589,-0.47457655270894367,0.538786651637098
3.117983767,0.24071665853261948,-0.02487571040789284,-0.47466452916463214,0.5416465339410048
3.134740776,0.23734003305435178,-0.020319099227587376,-0.48154489199320477,0.5457517599166085
3.151497693,0.22246576100587845,-0.023471891880035397,-0.4849386215209961,0.5422911649902907
3.168254429,0.19219039380550382,-0.032459395627180726,-0.4805014928181966,0.526722849445053
3.185011448,0.16996060311794278,-0.04030130306879679,-0.47482713063557935,0.5145946670409981
3.201769027,0.15469554563363389,-0.048693977296352386,-0.44714728991190583,0.48661813111360713
3.218525354,0.13809887319803235,-0.05797785520553589,-0.4202095667521158,0.4598533452837626
3.235286046,0.13142925749222434,-0.05858714381853739,-0.4262734254201253,0.46480019435280956
3.252035782,0.12933084120353058,-0.05205523967742919,-0.44508441289265943,0.482058891098224
3.2687966160000004,0.13695017000039414,-0.045351435740788766,-0.4519304434458414,0.4911719840954088
3.285552995,0.14736273388067878,-0.04453008373578388,-0.4420242309570312,0.486826251208434
3.302310635,0.14671554664770758,-0.04987654089927673,-0.43052895863850904,0.47610631251514407
3.3190676440000004,0.1374442080656687,-0.05401852230230967,-0.41272346178690583,0.4558585837412008
