time,acc_x
0.1519970552,0.06514165699481964
0.23578386099999998,0.3250325798988342
0.319568788,0.036401399970054656
0.40335363499999993,-0.12489445209503167
0.4871385774,0.14037385582923886
0.5709233618,0.19920032024383538
0.654708339,0.1409097850322723
0.7384931878000001,-0.09645844995975494
0.8222755241999999,0.016721922159194956
0.9060623144,0.3217733561992645
0.9898478472000001,0.19602441191673275
1.0736326816,0.12201591432094569
1.1574171792,0.29436168670654295
1.2412029032,0.09749747216701507
1.3249873492,0.21578052639961237
1.4087696146,0.1827274084091186
1.4925571309999999,0.21083716154098506
1.5763420202,0.23790509700775142
1.6601268921999999,0.1363249212503433
1.7439117316000001,-0.16082473099231717
1.8276941205999997,0.33743135929107665
1.91148147,0.09402722716331481
1.9952666568000001,0.27130755186080935
2.0790512862000003,0.17119370102882384
2.1628364832000004,0.11741595268249505
2.2466183130000004,0.13413449525833127
2.3304052964,0.2802988827228546
2.4141908592000005,0.19670084714889519
2.4979763172,0.26017864346504205
2.5817604646000003,0.17754105329513545
2.6655462694,0.058455514907836834
2.7493302726,0.15367301106452938
2.8331125538000004,0.3575015366077423
2.9168999278000003,0.3032295167446136
3.0006860262000004,0.2046749055385589
3.0844697542,0.20526821017265315
3.168254674600001,0.08473343253135676
3.2520393586,0.15394247770309444
3.3358243992,0.13204776048660272
3.4196091914,0.03521302938461302
3.5704220006,0.11888146102428432
3.6542041515999997,-0.013377198576927162
3.7379916983999997,-0.05154573917388914
3.8217766208,0.16799211502075195
3.9055574658,0.08585174083709712
3.9893436722000004,0.08838464617729182
4.073128574200001,0.0032598614692687807
4.1569161148000005,0.15681678652763362
4.240701014600001,0.272107994556427
4.324485878000001,0.13621953129768366
4.4082707354,0.08643433451652519
4.492055584200001,0.1633354187011718
4.5758393896000005,0.23289408683776855
4.6596252826,0.21955963373184204
4.743410204800001,0.19760333895683285
4.827195058,0.14127092957496637
4.910979929800001,0.22366977334022517
4.9947647524,0.14635873436927788
5.0785496338,0.3085233628749847
5.162334786000001,0.10196095705032344
5.246119122400001,0.23190922737121578
5.329904041000001,0.25731698274612425
5.4136890488,0.10970281362533565
5.4974697698,0.16196590662002563
5.581258801999999,0.20847421884536738
5.6650436505999995,0.14764063954353326
5.7488285018,0.23482323884963985
5.8326112354,0.1384122312068939
5.916398308000001,0.16192566752433774
6.0001830698,0.14629216790199276
6.0839653634,0.2372808158397674
6.1677528187999995,0.09741305112838738
6.251537556000001,0.16430546641349789
6.335322532600001,0.07412078976631162
6.4191064588,0.27222722172737124
6.5028923473999996,0.049505525827407804
6.5866772598,0.21526258587837216
6.6704620334,0.025317871570587118
6.7542470146,0.22654073834419242
6.838031811200001,0.17374016046524043
6.921816729200001,0.1096632361412048
7.005598841800001,0.10241175889968868
7.089386413,0.22194186449050898
7.1731685564,0.1664394378662109
7.256956224999999,0.08465979099273677
7.3407409040000005,0.12001144886016839
7.4245282288,0.11207180023193355
7.5083106996,0.19157322645187375
7.592095542199999,0.060908854007720906
7.675881327200001,0.07353675365447995
7.759665248600001,0.14529750347137452
7.8434501122,0.11301456689834591
7.927237323199999,0.06289130449295044
8.0110197372,0.1821764707565307
8.0948047124,-0.04311693310737609
8.178586879400001,0.15541226863861077
8.262374436600002,0.07936080694198605
8.346159243399999,0.06124200820922848
8.429944127000002,0.046096539497375466
8.513729012800002,0.10213052034378048
8.597513892200002,-0.000493001937866211
8.6812986316,-0.04824845194816589
8.7650835886,-0.03278779983520502
