time,acc_x,acc_y,acc_z,,absolute_acc
0.11847510700000001,0.046238243579864502,-0.35039505362510681,-0.80024909973144531,,0.87482186209266688
0.13523869700000002,0.053270846605300903,-0.41635176539421082,-0.53259563446044922,,0.67811848927104912
0.15200201300000002,-0.017251506447792053,-0.41654589772224426,-0.28406620025634766,,0.50448162058892487
0.16875598,0.018352925777435303,-0.1890220046043396,-0.49891376495361328,,0.5338362042512893
0.18551347900000001,0.22509777545928955,-0.2492249608039856,-0.69867610931396484,,0.77519700420639415
0.20226955200000002,0.32144257426261902,-0.041305899620056152,-0.53223800659179688,,0.62314428630359042
0.21902686600000001,0.25827357172966003,-0.088792145252227783,-0.51328563690185547,,0.58142190185976994
0.23578396700000001,0.38057863712310791,-0.07682037353515625,-0.55069255828857422,,0.67379801319013843
0.25254116900000001,0.37659856677055359,-0.10399919748306274,-0.61202049255371094,,0.72609324254977281
0.26929775100000003,0.28826954960823059,-0.1160549521446228,-0.7086181640625,,0.77376210012375957
0.28605467000000001,0.18783712387084961,-0.11916893720626831,-0.58075046539306641,,0.621896393101944
0.30281164800000004,0.12770339846611023,-0.17968839406967163,-0.533447265625,,0.57720192493261924
0.31956913600000003,0.064191251993179321,-0.12912368774414062,-0.56785297393798828,,0.58587579193828765
0.33632563700000001,-0.044778361916542053,-0.065280497074127197,-0.44438362121582031,,0.45137949421640722
0.35308284900000003,-0.15294641256332397,-0.065109491348266602,-0.37836360931396484,,0.41326852267346847
0.36983950200000004,-0.18207895755767822,-0.11464649438858032,-0.55586624145507812,,0.59605691326439358
0.38659707200000004,-0.13717123866081238,-0.16850906610488892,-0.42171287536621094,,0.47439751614539544
0.403353348,-0.17276248335838318,0.0014366507530212402,-0.43192481994628906,,0.4651967215137871
0.420110753,-0.084879398345947266,0.056274175643920898,-0.436309814453125,,0.44803744184620686
0.43686750000000002,-0.047580182552337646,0.0267486572265625,-0.44011306762695312,,0.44348492277770268
0.45362472200000004,0.00030690431594848633,-0.060968339443206787,-0.57345199584960938,,0.57668398984939895
0.47038138500000004,0.050797700881958008,-0.15080952644348145,-0.68849563598632812,,0.70664712583666434
0.48713863900000004,0.18186888098716736,-0.21530550718307495,-0.43909263610839844,,0.52176153018357729
0.50389546400000007,0.2835327684879303,-0.33335575461387634,-0.15095615386962891,,0.46293050270178598
0.52065267700000006,0.18536302447319031,-0.33827820420265198,-0.34667301177978516,,0.51862681320665127
0.53740923900000004,0.12569010257720947,-0.25432366132736206,-0.44779205322265625,,0.53009079366292189
0.55416627900000004,0.13604289293289185,-0.18428802490234375,-0.57270526885986328,,0.61681526393224528
0.57092353299999998,0.24332782626152039,-0.12549328804016113,-0.45769882202148438,,0.53333404921881922
0.58768082700000002,0.20749735832214355,-0.09087294340133667,-0.50628852844238281,,0.55465405397007972
0.60443693100000007,0.28344342112541199,-0.073174893856048584,-0.41083049774169922,,0.50445657488510742
0.62119436700000008,0.24487030506134033,-0.04895937442779541,-0.17651557922363281,,0.30580424515341431
0.63795148800000001,0.097008287906646729,0.026010751724243164,-0.36847209930419922,,0.38191472227904849
0.65470845700000002,0.10771316289901733,0.11837637424468994,-0.51709365844726562,,0.54129561521169423
0.67146522200000003,0.10881584882736206,0.089797854423522949,-0.52244758605957031,,0.54116173533848422
0.688222161,0.14614132046699524,0.021243870258331299,-0.73836708068847656,,0.75299039397313239
0.70497921000000008,0.20697659254074097,-0.03863990306854248,-0.63775634765625,,0.67161410865523208
0.721736555,0.08288295567035675,-0.14942479133605957,-0.43756008148193359,,0.46974054276052823
0.7384947850000001,-0.11140242218971252,-0.19724410772323608,-0.50037288665771484,,0.54926201707695466
0.75524832500000005,-0.32246917486190796,-0.13490700721740723,-0.64522933959960938,,0.73383047770764154
0.77200706400000008,-0.33828020095825195,-0.059760928153991699,-0.58324241638183594,,0.6768874198573237
0.78876453000000002,-0.22953444719314575,-0.001946866512298584,-0.41099643707275391,,0.47075250825033094
0.80550442,-0.16510343551635742,0.0041057467460632324,-0.45802402496337891,,0.48689014060596947
0.82228154000000009,0.031185388565063477,-0.043270766735076904,-0.63381767272949219,,0.63605796117808722
0.83903493900000004,0.19634184241294861,-0.17705494165420532,-0.67151641845703125,,0.72168751666053077
0.85579219200000001,0.25072026252746582,-0.27581802010536194,-0.73760509490966797,,0.82643663174703452
0.87255144000000007,0.3357197642326355,-0.24511057138442993,-0.80837249755859375,,0.90898462424286186
0.88930344300000008,0.36803615093231201,-0.18265366554260254,-0.65993213653564453,,0.77738239931305431
0.906062955,0.27767482399940491,-0.10487163066864014,-0.55043125152587891,,0.6253606395181468
0.92282003600000007,0.259876549243927,-0.014782249927520752,-0.63233566284179688,,0.68381483331485693
0.93957369800000001,0.36755949258804321,-0.019485235214233398,-0.54574871063232422,,0.65827145626996331
0.95633374900000001,0.34914928674697876,-0.1057935357093811,-0.42630958557128906,,0.56110369753173106
0.97309094200000001,0.26807001233100891,-0.17224800586700439,-0.58444499969482422,,0.6656627259390373
0.98984826600000009,0.23272904753684998,-0.25707548856735229,-0.56094074249267578,,0.65947337548818952
1.00660437,0.11133861541748047,-0.33168181777000427,-0.53735542297363281,,0.64121756535630536
1.0233619090000001,0.018835097551345825,-0.27391132712364197,-0.65301704406738281,,0.70838791341249296
1.040118825,0.027205526828765869,-0.17181098461151123,-0.57257461547851562,,0.59841527839250364
1.0568759170000002,0.067848682403564453,-0.081232190132141113,-0.49637889862060547,,0.50753731233611721
1.073632315,0.13000820577144623,-0.016052782535552979,-0.43438339233398438,,0.45370558397558286
1.090389762,0.15687680244445801,-0.0018867850303649902,-0.41998195648193359,,0.44832882449530398
1.1071465890000001,0.22814035415649414,-0.01129913330078125,-0.49104404449462891,,0.54157173600700625
1.123904859,0.23108676075935364,0.04947274923324585,-0.56280899047851562,,0.61041183120774478
1.1406596720000002,0.2683795690536499,0.10399717092514038,-0.62040042877197266,,0.68391497765899467
1.1574174740000001,0.37506541609764099,0.101573646068573,-0.56747341156005859,,0.68776256422967075
1.174174636,0.3577558696269989,-0.0023667216300964355,-0.44807529449462891,,0.57338149007470851
1.1909292550000001,0.23952081799507141,-0.05968928337097168,-0.52546787261962891,,0.58055965925800157
